PERMX	PERMY	PERMZ	Dates	Qoil(m3\day)	Qoil(t\day)	Qliq(m3\day)	Qcum_oil(m3)	Qcum_oil(t)	Qcum_wat
10	10	1	43862.00	332.400316	285.864271	433.522694	11681.22909	10045.85702	15107.42974
10	10	1	43891.00	266.610065	229.284656	355.817784	19412.92098	16695.11204	25426.14549
10	10	1	43922.00	221.655983	190.624146	304.687573	26284.25647	22604.46056	34871.46025
10	10	1	43952.00	194.965587	167.670405	274.531025	32133.22408	27634.57271	43107.39098
10	10	1	43983.00	175.419285	150.860585	252.778121	37571.22194	32311.25087	50943.51273
10	10	1	44013.00	163.444343	140.562134	239.390842	42474.55221	36528.1149	58125.23799
10	10	1	44044.00	155.676703	133.881964	230.627977	47300.52999	40678.45579	65274.70528
10	10	1	44075.00	151.028256	129.8843	225.269655	51982.40592	44704.86909	72258.06457
10	10	1	44105.00	148.448414	127.665635	222.162192	56435.85832	48534.83816	78922.93033
10	10	1	44136.00	147.194123	126.586946	220.46064	60998.87614	52459.03348	85757.21017
10	10	1	44166.00	146.947035	126.37445	219.837026	65407.2872	56250.26699	92352.32094
10	10	1	44197.00	147.401891	126.765627	219.945954	69976.74583	60180.00142	99170.64551
10	10	1	44228.00	148.30613	127.543272	220.537073	74574.23586	64133.84284	106007.2948
10	10	1	44256.00	149.332197	128.42569	221.297134	78755.53738	67729.76214	112203.6145
10	10	1	44287.00	150.540836	129.465119	222.222568	83422.3033	71743.18084	119092.5141
10	10	1	44317.00	151.648141	130.417401	223.060185	87971.74753	75655.70288	125784.3197
10	10	1	44348.00	152.626512	131.2588	223.76172	92703.16939	79724.72567	132720.933
10	10	1	44378.00	153.356596	131.886672	224.224479	97303.86725	83681.32583	139447.6674
10	10	1	44409.00	153.846648	132.308117	224.442146	102073.1133	87782.87747	146405.3739
10	10	1	44440.00	154.067617	132.49815	224.396994	106849.2095	91890.32013	153361.6807
10	10	1	44470.00	154.043311	132.477248	224.120913	111470.5088	95864.63756	160085.3081
10	10	1	44501.00	153.791944	132.261072	223.614722	116238.059	99964.73078	167017.3645
10	10	1	44531.00	153.369018	131.897356	222.949426	120839.1296	103921.6515	173705.8472
10	10	1	44562.00	152.776413	131.387716	222.110122	125575.1984	107994.6706	180591.261
10	10	1	44593.00	152.063739	130.774815	221.153992	130289.1743	112048.6899	187447.0348
10	10	1	44621.00	151.346645	130.158115	220.219476	134526.8804	115693.1171	193613.1801
10	10	1	44652.00	150.491561	129.422742	219.126517	139192.1188	119705.2221	200406.1021
10	10	1	44682.00	149.630122	128.681906	218.037987	143681.0224	123565.6793	206947.2417
10	10	1	44713.00	148.72343	127.902149	216.900371	148291.4488	127530.6459	213671.1532
10	10	1	44743.00	147.844054	127.145887	215.80149	152726.7704	131345.0225	220145.1979
10	10	1	44774.00	146.941828	126.369972	214.67669	157281.9671	135262.4917	226800.1754
10	10	1	44805.00	146.053663	125.60615	213.570106	161809.6306	139156.2823	233420.8487
10	10	1	44835.00	145.21157	124.88195	212.520631	166165.9777	142902.7408	239796.4676
10	10	1	44866.00	144.364026	124.153062	211.466524	170641.2625	146751.4858	246351.9298
10	10	1	44896.00	143.568418	123.468839	210.47385	174948.3151	150455.551	252666.1454
10	10	1	44927.00	142.774369	122.785958	209.479226	179374.3205	154261.9156	259160.0014
